Source,Port,Destination,Port,Name,Protocol,Length,Service,Country
13.248.212.111,443,192.168.222.217,45578,"('ip-192-168-222-217.eu-west-2.compute.internal', [], ['192.168.222.217'])",6,52.0,0.0,Not found
192.168.222.217,45580,13.248.212.111,443,"('ac88393aca5853df7.awsglobalaccelerator.com', [], ['13.248.212.111'])",6,1222.0,0.0,United States
13.248.212.111,443,192.168.222.217,45580,"('ip-192-168-222-217.eu-west-2.compute.internal', [], ['192.168.222.217'])",6,176.0,0.0,Not found
192.168.222.217,45580,13.248.212.111,443,"('ac88393aca5853df7.awsglobalaccelerator.com', [], ['13.248.212.111'])",6,52.0,0.0,United States
76.223.92.165,443,192.168.222.7,42514,"('ip-192-168-222-7.eu-west-2.compute.internal', [], ['192.168.222.7'])",6,865.0,0.0,Not found
192.168.222.7,42514,76.223.92.165,443,"('ac88393aca5853df7.awsglobalaccelerator.com', [], ['76.223.92.165'])",6,52.0,0.0,United States
192.168.222.7,42514,76.223.92.165,443,"('ac88393aca5853df7.awsglobalaccelerator.com', [], ['76.223.92.165'])",6,108.0,0.0,United States
76.223.92.165,443,192.168.222.7,42514,"('ip-192-168-222-7.eu-west-2.compute.internal', [], ['192.168.222.7'])",6,52.0,0.0,Not found
192.168.222.7,42520,76.223.92.165,443,"('ac88393aca5853df7.awsglobalaccelerator.com', [], ['76.223.92.165'])",6,1222.0,0.0,United States
76.223.92.165,443,192.168.222.7,42520,"('ip-192-168-222-7.eu-west-2.compute.internal', [], ['192.168.222.7'])",6,52.0,0.0,Not found
76.223.92.165,443,192.168.222.7,42520,"('ip-192-168-222-7.eu-west-2.compute.internal', [], ['192.168.222.7'])",6,176.0,0.0,Not found
192.168.222.7,42520,76.223.92.165,443,"('ac88393aca5853df7.awsglobalaccelerator.com', [], ['76.223.92.165'])",6,52.0,0.0,United States
13.248.212.111,443,192.168.222.217,45578,"('ip-192-168-222-217.eu-west-2.compute.internal', [], ['192.168.222.217'])",6,865.0,0.0,Not found
192.168.222.217,45578,13.248.212.111,443,"('ac88393aca5853df7.awsglobalaccelerator.com', [], ['13.248.212.111'])",6,52.0,0.0,United States
192.168.222.217,45578,13.248.212.111,443,"('ac88393aca5853df7.awsglobalaccelerator.com', [], ['13.248.212.111'])",6,108.0,0.0,United States
13.248.212.111,443,192.168.222.217,45578,"('ip-192-168-222-217.eu-west-2.compute.internal', [], ['192.168.222.217'])",6,52.0,0.0,Not found
192.168.222.217,45580,13.248.212.111,443,"('ac88393aca5853df7.awsglobalaccelerator.com', [], ['13.248.212.111'])",6,1221.0,0.0,United States
13.248.212.111,443,192.168.222.217,45580,"('ip-192-168-222-217.eu-west-2.compute.internal', [], ['192.168.222.217'])",6,175.0,0.0,Not found
192.168.222.217,45580,13.248.212.111,443,"('ac88393aca5853df7.awsglobalaccelerator.com', [], ['13.248.212.111'])",6,52.0,0.0,United States
76.223.92.165,443,192.168.222.7,42514,"('ip-192-168-222-7.eu-west-2.compute.internal', [], ['192.168.222.7'])",6,865.0,0.0,Not found
192.168.222.7,42514,76.223.92.165,443,"('ac88393aca5853df7.awsglobalaccelerator.com', [], ['76.223.92.165'])",6,52.0,0.0,United States
192.168.222.7,42514,76.223.92.165,443,"('ac88393aca5853df7.awsglobalaccelerator.com', [], ['76.223.92.165'])",6,108.0,0.0,United States
76.223.92.165,443,192.168.222.7,42514,"('ip-192-168-222-7.eu-west-2.compute.internal', [], ['192.168.222.7'])",6,52.0,0.0,Not found
192.168.222.7,54177,192.168.222.1,53,"('ip-192-168-222-1.eu-west-2.compute.internal', [], ['192.168.222.1'])",17,86.0,0.0,Not found
192.168.222.1,53,192.168.222.7,54177,"('ip-192-168-222-7.eu-west-2.compute.internal', [], ['192.168.222.7'])",17,86.0,0.0,Not found
192.168.222.7,44764,192.168.222.1,53,"('ip-192-168-222-1.eu-west-2.compute.internal', [], ['192.168.222.1'])",17,86.0,0.0,Not found
192.168.222.1,53,192.168.222.7,44764,"('ip-192-168-222-7.eu-west-2.compute.internal', [], ['192.168.222.7'])",17,86.0,0.0,Not found
192.168.222.7,50250,192.168.222.1,53,"('ip-192-168-222-1.eu-west-2.compute.internal', [], ['192.168.222.1'])",17,99.0,0.0,Not found
192.168.222.1,53,192.168.222.7,50250,"('ip-192-168-222-7.eu-west-2.compute.internal', [], ['192.168.222.7'])",17,99.0,0.0,Not found
192.168.222.7,50250,192.168.222.1,53,"('ip-192-168-222-1.eu-west-2.compute.internal', [], ['192.168.222.1'])",17,88.0,0.0,Not found
192.168.222.1,53,192.168.222.7,50250,"('ip-192-168-222-7.eu-west-2.compute.internal', [], ['192.168.222.7'])",17,88.0,0.0,Not found
192.168.222.217,56022,142.250.200.10,443,"('lhr48s29-in-f10.1e100.net', [], ['142.250.200.10'])",6,52.0,0.0,United States
192.168.222.217,56022,142.250.200.10,443,"('lhr48s29-in-f10.1e100.net', [], ['142.250.200.10'])",6,52.0,0.0,United States
192.168.222.217,56022,142.250.200.10,443,"('lhr48s29-in-f10.1e100.net', [], ['142.250.200.10'])",6,52.0,0.0,United States
192.168.222.217,56022,142.250.200.10,443,"('lhr48s29-in-f10.1e100.net', [], ['142.250.200.10'])",6,52.0,0.0,United States
192.168.222.217,56022,142.250.200.10,443,"('lhr48s29-in-f10.1e100.net', [], ['142.250.200.10'])",6,52.0,0.0,United States
192.168.222.7,42514,76.223.92.165,443,"('ac88393aca5853df7.awsglobalaccelerator.com', [], ['76.223.92.165'])",6,136.0,0.0,United States
76.223.92.165,443,192.168.222.7,42514,"('ip-192-168-222-7.eu-west-2.compute.internal', [], ['192.168.222.7'])",6,52.0,0.0,Not found
76.223.92.165,443,192.168.222.7,42514,"('ip-192-168-222-7.eu-west-2.compute.internal', [], ['192.168.222.7'])",6,1194.0,0.0,Not found
192.168.222.7,42514,76.223.92.165,443,"('ac88393aca5853df7.awsglobalaccelerator.com', [], ['76.223.92.165'])",6,52.0,0.0,United States
192.168.222.7,51257,192.168.222.1,53,"('ip-192-168-222-1.eu-west-2.compute.internal', [], ['192.168.222.1'])",17,72.0,0.0,Not found
192.168.222.1,53,192.168.222.7,51257,"('ip-192-168-222-7.eu-west-2.compute.internal', [], ['192.168.222.7'])",17,176.0,0.0,Not found
104.18.28.74,443,192.168.222.7,55800,"('ip-192-168-222-7.eu-west-2.compute.internal', [], ['192.168.222.7'])",6,52.0,0.0,Not found
