Source,Port,Destination,Port,Name,Protocol,Length,Service,Country
142.250.200.35,443,192.168.222.92,46088,"('ip-192-168-222-92.eu-west-2.compute.internal', [], ['192.168.222.92'])",6,1470.0,0.0,Not found
192.168.222.92,46088,142.250.200.35,443,"('lhr48s30-in-f3.1e100.net', [], ['142.250.200.35'])",6,52.0,0.0,United States
142.250.200.35,443,192.168.222.92,46088,"('ip-192-168-222-92.eu-west-2.compute.internal', [], ['192.168.222.92'])",6,2888.0,0.0,Not found
192.168.222.92,46088,142.250.200.35,443,"('lhr48s30-in-f3.1e100.net', [], ['142.250.200.35'])",6,52.0,0.0,United States
142.250.200.35,443,192.168.222.92,46088,"('ip-192-168-222-92.eu-west-2.compute.internal', [], ['192.168.222.92'])",6,2976.0,0.0,Not found
192.168.222.92,46088,142.250.200.35,443,"('lhr48s30-in-f3.1e100.net', [], ['142.250.200.35'])",6,52.0,0.0,United States
192.168.222.92,33194,216.58.212.206,443,"('ams16s21-in-f206.1e100.net', [], ['216.58.212.206'])",6,569.0,0.0,United States
216.58.212.206,443,192.168.222.92,33194,"('ip-192-168-222-92.eu-west-2.compute.internal', [], ['192.168.222.92'])",6,52.0,0.0,Not found
216.58.212.206,443,192.168.222.92,33194,"('ip-192-168-222-92.eu-west-2.compute.internal', [], ['192.168.222.92'])",6,4306.0,0.0,Not found
216.58.212.206,443,192.168.222.92,33194,"('ip-192-168-222-92.eu-west-2.compute.internal', [], ['192.168.222.92'])",6,98.0,0.0,Not found
192.168.222.92,33194,216.58.212.206,443,"('ams16s21-in-f206.1e100.net', [], ['216.58.212.206'])",6,52.0,0.0,United States
192.168.222.92,33194,216.58.212.206,443,"('ams16s21-in-f206.1e100.net', [], ['216.58.212.206'])",6,64.0,0.0,United States
192.168.222.92,33194,216.58.212.206,443,"('ams16s21-in-f206.1e100.net', [], ['216.58.212.206'])",6,64.0,0.0,United States
192.168.222.92,33194,216.58.212.206,443,"('ams16s21-in-f206.1e100.net', [], ['216.58.212.206'])",6,52.0,0.0,United States
192.168.222.92,47618,173.194.76.188,5228,"('ws-in-f188.1e100.net', [], ['173.194.76.188'])",6,60.0,0.0,United States
173.194.76.188,5228,192.168.222.92,47618,"('ip-192-168-222-92.eu-west-2.compute.internal', [], ['192.168.222.92'])",6,60.0,0.0,Not found
192.168.222.92,47618,173.194.76.188,5228,"('ws-in-f188.1e100.net', [], ['173.194.76.188'])",6,52.0,0.0,United States
192.168.222.92,47618,173.194.76.188,5228,"('ws-in-f188.1e100.net', [], ['173.194.76.188'])",6,569.0,0.0,United States
173.194.76.188,5228,192.168.222.92,47618,"('ip-192-168-222-92.eu-west-2.compute.internal', [], ['192.168.222.92'])",6,52.0,0.0,Not found
173.194.76.188,5228,192.168.222.92,47618,"('ip-192-168-222-92.eu-west-2.compute.internal', [], ['192.168.222.92'])",6,2888.0,0.0,Not found
173.194.76.188,5228,192.168.222.92,47618,"('ip-192-168-222-92.eu-west-2.compute.internal', [], ['192.168.222.92'])",6,2888.0,0.0,Not found
173.194.76.188,5228,192.168.222.92,47618,"('ip-192-168-222-92.eu-west-2.compute.internal', [], ['192.168.222.92'])",6,1041.0,0.0,Not found
192.168.222.92,47618,173.194.76.188,5228,"('ws-in-f188.1e100.net', [], ['173.194.76.188'])",6,52.0,0.0,United States
192.168.222.92,47618,173.194.76.188,5228,"('ws-in-f188.1e100.net', [], ['173.194.76.188'])",6,64.0,0.0,United States
192.168.222.92,47618,173.194.76.188,5228,"('ws-in-f188.1e100.net', [], ['173.194.76.188'])",6,52.0,0.0,United States
192.168.222.92,47618,173.194.76.188,5228,"('ws-in-f188.1e100.net', [], ['173.194.76.188'])",6,52.0,0.0,United States
192.168.222.92,33194,216.58.212.206,443,"('ams16s21-in-f206.1e100.net', [], ['216.58.212.206'])",6,116.0,0.0,United States
216.58.212.206,443,192.168.222.92,33194,"('ip-192-168-222-92.eu-west-2.compute.internal', [], ['192.168.222.92'])",6,52.0,0.0,Not found
192.168.222.92,33194,216.58.212.206,443,"('ams16s21-in-f206.1e100.net', [], ['216.58.212.206'])",6,902.0,0.0,United States
216.58.212.206,443,192.168.222.92,33194,"('ip-192-168-222-92.eu-west-2.compute.internal', [], ['192.168.222.92'])",6,52.0,0.0,Not found
